TE_Rank,player_name,TE_REC,TE_TGT,TE_YDS,TE_Y/R,TE_LG,TE_20+,TE_TD,TE_ATT,TE_YDS,TE_TD,TE_FL,TE_G,TE_FPTS,TE_FPTS/G,TE_ROST,Position
205,bradcottam(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
206,jamesdearth(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
207,marquezbranson(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
208,marcedeslewis(chi),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
209,keithzinger(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
210,justinsnow(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
211,roberttonyan(min),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
212,jacobhollister(car),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
213,johnnymundt(min),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.3%,TE
214,anthonyfirkser(nyj),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
215,moalie-cox(ind),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
216,ericsaubert(sf),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
217,zachwood(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
218,kevinrader(no),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
219,willdissly(lac),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,TE
220,rossdwelley(atl),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
221,davidwells(tb),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
222,jordanakins(cle),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,TE
223,jordanthomas(atl),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
224,blakebell(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
225,chrismanhertz(nyg),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
226,patrickscales(chi),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
227,tylerott(was),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
228,jameswinchester(kc),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
229,andrewdepaola(min),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
230,austinhooper(ne),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,TE
231,nickvannett(ten),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
232,geoffswaim(fa),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TE
233,erictomlinson(ind),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
234,devongarrison(sea),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TE
